ID,Name (in Turkey),Name (in English),Ingredients of a standard portion for a 3-6 year-old child (in Turkey),Ingredients of a standard portion for a 3-6 year-old child (in English),Ingredients of a standard portion for a 7-12 year-old child (in Turkey),Ingredients of a standard portion for a 7-12 year-old child (in English),Ingredients of a standard portion for a 13-15 year-old child (in Turkey),Ingredients of a standard portion for a 13-15 year-old child (in English),Ingredients of a standard portion for a 16-18 year-old child (in Turkey),Ingredients of a standard portion for a 16-18 year-old child (in English),Ingredients of a standard portion for an adult (in Turkey),Ingredients of a standard portion for an adult (in English),Recipe (in Turkey),Recipe (in English),Tip (in Turkey),Tip (in English),Kcal,Protein,Fat,Carbohydrates,Dish type,For Autumn,For Winter,For Spring,For Summer,White meat,Red meat,Pork,Fish or seafood,Pulses (Legumes),Dairy,Eggs,Pasta,Rice,Tubers,Soups,Cereals,Fruit,Nuts,Raw vegetables,Cooked vegetables,Protein mix,Unique,Semiunique,Vegetables for semi,Red,Green,White,Yellow,Purple,Multicolor,No color,For proposals,For school
221,Fındık,Hazelnut,,,10 g,10 g,15 g,15 g,30 g,30 g,30 g,30 g,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
222,Mercimek Çorbası,Lentil soup,,,"Zeytinyağı
Kırmızı Mercimek
Havuç
Buğday Unu
Tuz 
Domates Salçası
Su
Kuru Soğan","Olive oil
Red lentil
Carrot
Wheat flour
Salt
Tomato paste
Water
Onion","Zeytinyağı
Kırmızı Mercimek
Havuç
Buğday Unu
Tuz 
Domates Salçası
Su
Kuru Soğan","Olive oil
Red lentil
Carrot
Wheat flour
Salt
Tomato paste
Water
Onion","Zeytinyağı
Kırmızı Mercimek
Havuç
Buğday Unu
Tuz 
Domates Salçası
Su
Kuru Soğan","Olive oil
Red lentil
Carrot
Wheat flour
Salt
Tomato paste
Water
Onion","Zeytinyağı
Kırmızı Mercimek
Havuç
Buğday Unu
Tuz 
Domates Salçası
Su
Kuru Soğan","Olive oil
Red lentil
Carrot
Wheat flour
Salt
Tomato paste
Water
Onion",,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
223,Dereotlu Tavuk Köftesi,Chicken Meatballs with Dill,,,"Tavuk Göğüs 
Sarımsak
Yeşil Soğan
Dereotu
Yumurta Sarısı
Yumurta Akı (Yumurta Beyazı)
Galeta Unu
Ekmek İçi","Chicken Breast
Garlic
Scallion
Dill
Egg yolk
Egg White 
Breadcrumbs
Bread Crumbs","Tavuk Göğüs 
Sarımsak
Yeşil Soğan
Dereotu
Yumurta Sarısı
Yumurta Akı (Yumurta Beyazı)
Galeta Unu
Ekmek İçi","Chicken Breast
Garlic
Scallion
Dill
Egg yolk
Egg White 
Breadcrumbs
Bread Crumbs","Tavuk Göğüs 
Sarımsak
Yeşil Soğan
Dereotu
Yumurta Sarısı
Yumurta Akı (Yumurta Beyazı)
Galeta Unu
Ekmek İçi","Chicken Breast
Garlic
Scallion
Dill
Egg yolk
Egg White 
Breadcrumbs
Bread Crumbs","Tavuk Göğüs 
Sarımsak
Yeşil Soğan
Dereotu
Yumurta Sarısı
Yumurta Akı (Yumurta Beyazı)
Galeta Unu
Ekmek İçi","Chicken Breast
Garlic
Scallion
Dill
Egg yolk
Egg White 
Breadcrumbs
Bread Crumbs",,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
224,Salçalı Makarna,Pasta with sauce,,,"Makarna
Zeytinyağı
Su
Tuz 
Biber Salçası
Domates Salçası","Pasta
Olive oil
Water
Salt
Pepper paste
Tomato paste","Makarna
Zeytinyağı
Su
Tuz 
Biber Salçası
Domates Salçası","Pasta
Olive oil
Water
Salt
Pepper paste
Tomato paste","Makarna
Zeytinyağı
Su
Tuz 
Biber Salçası
Domates Salçası","Pasta
Olive oil
Water
Salt
Pepper paste
Tomato paste","Makarna
Zeytinyağı
Su
Tuz 
Biber Salçası
Domates Salçası","Pasta
Olive oil
Water 
Salt
Pepper paste
Tomato paste",,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
225,Mevsim Salata,Seasonal salad,,,"Tuz 
Zeytinyağı
Kırmızı Biber
Yeşil Soğan
Domates
Dereotu
Maydanoz
Roka
Kırmızı Lahana (Mor Lahana)
Marul","Salt
Olive oil
Red pepper
Scallion
Tomatoes
Dill
Parsley
Rocket
Red Cabbage (Purple Cabbage)
Lettuce","Tuz 
Zeytinyağı
Kırmızı Biber
Yeşil Soğan
Domates
Dereotu
Maydanoz
Roka
Kırmızı Lahana (Mor Lahana)
Marul","Salt
Olive oil
Red pepper
Scallion
Tomatoes
Dill
Parsley
Rocket
Red Cabbage (Purple Cabbage)
Lettuce","Tuz 
Zeytinyağı
Kırmızı Biber
Yeşil Soğan
Domates
Dereotu
Maydanoz
Roka
Kırmızı Lahana (Mor Lahana)
Marul","Salt
Olive oil
Red pepper
Scallion
Tomatoes
Dill
Parsley
Rocket
Red Cabbage (Purple Cabbage)
Lettuce","Tuz 
Zeytinyağı
Kırmızı Biber
Yeşil Soğan
Domates
Dereotu
Maydanoz
Roka
Kırmızı Lahana (Mor Lahana)
Marul","Salt
Olive oil
Red pepper
Scallion
Tomatoes
Dill
Parsley
Rocket
Red Cabbage (Purple Cabbage)
Lettuce",,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
226,Domates Çorbası,Tomato soup,,,"Zeytinyağı
Buğday Unu
Domates
Domates Salçası
Süt(Yarım Yağlı)
Tuz
Su","Olive oil
Wheat flour
Tomatoes
Tomato paste
Milk (Semi Fat)
Salt
Water","Zeytinyağı
Buğday Unu
Domates
Domates Salçası
Süt(Yarım Yağlı)
Tuz
Su","Olive oil
Wheat flour
Tomatoes
Tomato paste
Milk (Semi Fat)
Salt
Water","Zeytinyağı
Buğday Unu
Domates
Domates Salçası
Süt(Yarım Yağlı)
Tuz
Su","Olive oil
Wheat flour
Tomatoes
Tomato paste
Milk (Semi Fat)
Salt
Water","Zeytinyağı
Buğday Unu
Domates
Domates Salçası
Süt(Yarım Yağlı)
Tuz
Su","Olive oil
Wheat flour
Tomatoes
Tomato paste
Milk (Semi Fat)
Salt
Water",,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
227,Karnıyarık,Karnıyarık,,,"Patlıcan
Dana Kıyma
Kuru Soğan
Domates
Çarliston Biber
Sarımsak
Zeytinyağı
Salça 
Tuz 
Su ","Eggplant
Ground beef
Onion
Tomatoes
Charleston Pepper
Garlic
Olive oil
Tomato paste
Salt
Water ","Patlıcan
Dana Kıyma
Kuru Soğan
Domates
Çarliston Biber
Sarımsak
Zeytinyağı
Salça 
Tuz 
Su ","Eggplant
Ground beef
Onion
Tomatoes
Charleston Pepper
Garlic
Olive oil
Tomato paste
Salt
Water ","Patlıcan
Dana Kıyma
Kuru Soğan
Domates
Çarliston Biber
Sarımsak
Zeytinyağı
Salça 
Tuz 
Su ","Eggplant
Ground beef
Onion
Tomatoes
Charleston Pepper
Garlic
Olive oil
Tomato paste
Salt
Water ","Patlıcan
Dana Kıyma
Kuru Soğan
Domates
Çarliston Biber
Sarımsak
Zeytinyağı
Salça 
Tuz 
Su ","Eggplant
Ground beef
Onion
Tomatoes
Charleston Pepper
Garlic
Olive oil
Tomato paste
Salt
Water ",,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
228,Pirinç Pilavı,Rice,,,"Beyaz Pirinç
Tereyağı
Su
Tuz ","White Rice
Butter
Water
Salt","Beyaz Pirinç
Tereyağı
Su
Tuz ","White Rice
Butter
Water
Salt","Beyaz Pirinç
Tereyağı
Su
Tuz ","White Rice
Butter
Water
Salt","Beyaz Pirinç
Tereyağı
Su
Tuz ","White Rice
Butter
Water
Salt",,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
229,Cacık,Cacık,,,yoğurt: 100 g salatalık: 50 g tuz: 1 g,yogurt: 100 g cucumber: 50 g salt: 1 g,yoğurt: 150 g  salatalık: 75 g tuz: 1 g,yogurt: 150 g  cucumber: 75 g salt: 1 g,yoğurt: 200 g salatalık: 100 g tuz: 2 g,yogurt: 200 g cucumber: 100 g  salt: 2 g,yoğurt: 200 g salatalık: 100 g tuz: 2 g,yogurt: 200 g cucumber: 100 g  salt: 2 g,salatalığı rendeliyoruz. yoğurtla karıştırıyoruz.,grate the cucumber. Mix it with yoghurt.,,,120,6,6,10.5,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
230,Kabaklı Omlet,Zucchini omelet,,,"kabak: 50 g  yumurta: 30 g
un: 10 g
tuz: 1 g
olive oil: 5 ml","zucchini: 50 g
eggs: 30 g
flour: 10 g
Salt: 1 g
olive oil: 5 ml","kabak: 50 g  yumurta: 30 g
un: 10 g
tuz: 1 g
olive oil: 5 ml","zucchini: 50 g
eggs: 30 g
flour: 10 g
Salt: 1 g
olive oil: 5 ml","kabak: 100 g yumurta: 60 g
un: 20 g
tuz: 2 g
zeytinyağı: 10 ml","zucchini: 100 g
eggs: 60 g
flour: 20 g
Salt: 2 g
olive oil: 10 ml","kabak: 100 g yumurta: 60 g
un: 20 g
tuz: 2 g
zeytinyağı: 10 ml","zucchini: 100 g
eggs: 60 g
flour: 20 g
Salt: 2 g
olive oil: 10 ml",Kabağı soyup rendeleyin. Kalan malzemeleri ekleyip karıştırın. Omleti yapacağımız tavaya sıvı yağ ekleyin. Karışımı tavaya dökün. Kısık ateşte pişirin.,Peel and grate the zucchini. Add remaining ingredients and mix. Add oil to the pan in which we will make the omelet. Pour the mixture into the pan. Cook on low heat.,,,377,8.4,35.6,5.8,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
231,Havuç Suyu,Carrot juice,,,100 ml,100 ml,150 ml,150 ml,200 ml,200 ml,200 ml,200 ml,,,,,180,,,45,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
