Id,Name (in Greek),Name (in English),Ingredients for child (in Greek),Ingredients for child (in English),Ingredients for adult (in Greek),Ingredients for adult (in English),Recipe (in Greek),Recipe (in English),Tip (in Greek),Tip (in English),Kcal,Protein,Fat,Carbohydrates,Dish type,For Autumn,For Winter,For Spring,For Summer,White meat,Red meat,Pork,Fish or seafood,Pulses,Dairy,Eggs,Pasta,Rice,Tubers,Soups,Cereals,Fruit,Nuts,Raw vegetables,Cooked vegetables,,,,,,,,,,,,,,
20,Μπανάνα,Banana ,,,"Μπανάνα,1,τμχ;","Banana,1,pc;",,,,,105,1.3,0.4,27,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
21,Τραγανό αβοκάντο με βραστό αυγό,Crispy avocando with boiled egg,,,"Αυγό,2,τμχ;
Αβοκάντο,1,τμχ;
Αλεύρι για όλες τις χρήσεις,20,γρ;
Πάνκο,20,γρ;","Egg, 2, pcs;
Avocado, 1, pc;
Flour for all purposes, 20, g;
Panko, 20, g;","Τοποθετούμε μια κατσαρόλα με αλατισμένο νερό σε δυνατή φωτιά και το αφήνουμε να πάρει μια βράση. Ρίχνουμε το αυγό, βράζουμε για 3 λεπτά, και τα αφαιρούμε με μια τρυπητή κουτάλα. Μεταφέρουμε το αυγό σε κρύο νερό, ώστε να σταματήσουμε τον βρασμό του, και το αφήνουμε στην άκρη για 5 λεπτά. Κόβουμε το αβοκάντο στη μέση κατά μήκος, στρίβουμε με τα χέρια μας τα 2 κομμάτια από τις αντίθετες κατευθύνσεις, και το ανοίγουμε. Αφαιρούμε το κουκούτσι καρφώνοντας ένα μαχαίρι και με ένα κουτάλι βγάζουμε τη σάρκα του. Προσέχουμε να διατηρήσουμε το σχήμα του αβοκάντο και να μην σπάσουν κομμάτια. Ξεφλουδίζουμε το αυγό, το τοποθετούμε στην εσωτερική τρύπα του αβοκάντο, ενώνουμε τα 2 κομμάτια του αβοκάντο, και καρφώνουμε 2 οδοντογλυφίδες, μια σε κάθε άκρη, ώστε να το σφραγίσουμε. Τοποθετούμε ένα γουόκ με ηλιέλαιο σε δυνατή φωτιά να κάψει. Ρίχνουμε σε τρία μπολ ξεχωριστά το αλεύρι, το αυγό και το πάνκο, και περνάμε με αυτή τη σειρά το αβοκάντο στο κάθε μπολ να παναριστεί. Ρίχνουμε το αβοκάντο στο γουόκ, και τηγανίζουμε για 2-3 λεπτά μέχρι να πάρει χρυσαφένιο χρώμα. Αφαιρούμε τις οδοντογλυφίδες, κόβουμε στη μέση το αβοκάντο, και σερβίρουμε πάνω σε φρυγανισμένο ψωμί με τυρί κρέμα και καπνιστό σολομό. Γαρνίρουμε με ρόκα και ντοματίνια.","Place a pot of salted water over high heat and bring to a boil. Add the egg, boil for 3 minutes, and remove with a slotted spoon. Transfer the egg to cold water to stop boiling, and set aside for 5 minutes. Cut the avocado in half lengthwise, twist the 2 pieces with our hands from opposite directions, and open it. We remove the stone by sticking a knife and with a spoon we take out its flesh. We are careful to keep the shape of the avocado and not to break pieces. Peel the egg, place it in the inside hole of the avocado, join the 2 pieces of the avocado, and stick 2 toothpicks, one at each end, to seal it. Place a wok with sunflower oil on high heat to burn. Pour the flour, egg and panko into three separate bowls, and pass the avocado in this order in each bowl to be breaded. Put the avocado in the wok, and fry for 2-3 minutes until it turns golden. Remove the toothpicks, cut the avocado in half, and serve on toasted bread with cream cheese and smoked salmon. Garnish with arugula and cherry tomatoes.",,,240,3,22,13,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,
22,Βραστό αυγό,Boiled egg,,,"Βραστό αυγό,1,τμχ;","Boiled egg,1,pc;",,,,,72,6,5,0.5,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
23,Φασολάδα,Bean soup,,,"Φασόλια λευκά μέτρια,100,γρ;
Κοφτό αλάτι,0.2,κ.γ.;
Σέλερι,0.4,κλ.;
Καρότα,0.6,τμχ;
Κρεμμύδι μεγάλο,0.2,τμχ;
Σκόρδο,1,σκ.;
Ελαιόλαδο,0.6,κ.σ.;
Πελτέ ντομάτας,0.2,κ.σ.;
Φύλλα δάφνης,0.6,τμχ;
Δεντρολίβανο,0.4,κλ.;
Κύβο λαχανικών,0.2,τμχ;
Κόκκινο μήλο,0.2,τμχ;
Nερό,0.4,lt;","Medium white beans,100,g;
Fine salt,0.2,tsp;
Celery,0.4,twigs;
Carrots,0.6,pcs;
Onion large,0.2,pcs;
Garlic,1,clove;
Olive oil,0.6,tbsp;
Tomato paste,0.2,tbsp;
Bay leaves,0.6,pcs;
Rosemary,0.4,twigs;
Cube of vegetables,0.2,pcs;
Red apple,0.2,pcs;
Water,0.4,lt;","Βάζουμε τα φασόλια μας σε ένα μπολ και το γεμίζουμε με νερό, τόσο ώστε να τα καλύψει.
Ρίχνουμε 1 κοφτή κ.γ. αλάτι, ανακατεύουμε ελαφρά και αφήνουμε στην άκρη να μουλιάσουν για 8-12 ώρες.
Στην συνέχεια, σουρώνουμε, τα πλένουμε με πολύ κρύο νερό για να καθαρίσουν πολύ καλά, τα στραγγίζουμε ξανά και τα αφήνουμε στην άκρη.
Κόβουμε το σέλερι σε μεγάλα κομμάτια 1-2 εκ. και τα καρότα σε ροδέλες 1-2 εκ.
Χοντροκόβουμε το κρεμμύδι μας και λεπτοκόβουμε τις σκελίδες σκόρδου.
Βάζουμε μία κατσαρόλα σε μέτρια φωτιά (δεν θέλουμε να κάψει), ρίχνουμε μέσα το ελαιόλαδο και τα λαχανικά μας.
Σοτάρουμε για 15-20 λεπτά μέχρι να μαλακώσουν τα λαχανικά μας, ανακατεύοντας ελαφρά αν ά τακτά χρονικά διαστήματα.
Στην συνέχεια, αφού έχουν εξατμιστεί όλα τα υγρά από τα λαχανικά και έχουν μαλακώσει, ρίχνουμε τον πελτέ και σοτάρουμε για 1 λεπτό ανακατεύοντας το φαγητό μας.
Προσθέτουμε στη συνέχεια τα φασόλια, τα φύλλα δάφνης, το δεντρολίβανο, τον κύβο και ένα ολόκληρο μήλο. Βάζοντας το ολόκληρο μήλο μέσα στην κατσαρόλα μας δένει καλύτερα η σάλτσα μας. Θα το αφαιρέσουμε μόλις μαγειρευτεί το φαγητό μας.
Ρίχνουμε το νερό και καπακώνουμε την κατσαρόλα μας.
Σιγοβράζουμε την φασολάδα μας για 1 με 1 ½ ώρα.
Ελέγχουμε που και που μήπως χρειαστεί να προσθέσουμε λίγο νερό που καλό είναι να είναι βραστό ώστε να μην διακοπεί ο βρασμός του φαγητού μας.
Δέκα λεπτά πριν βγάλουμε από την φωτιά ρίχνουμε αλάτι και πιπέρι στο φαγητό μας και καπακώνουμε πάλι την κατσαρόλα μας.
Όταν είναι έτοιμη, αφαιρούμε από τη φωτιά, βγάζουμε το μήλο από την κατσαρόλα (δεν το χρειαζόμαστε μπορούμε να το πετάξουμε).","We put our beans in a bowl and fill it with water, enough to cover them.
Add 1 tbsp. salt, mix lightly and set aside to soak for 8-12 hours.
Then, strain, wash them with very cold water to clean them very well, drain them again and set them aside.
Cut the celery into large 1-2 cm pieces and the carrots into 1-2 cm slices.
Coarsely chop our onion and finely chop the garlic cloves.
We put a pot on medium heat (we don't want it to burn), pour in the olive oil and our vegetables.
Sauté for 15-20 minutes until our vegetables are soft, stirring lightly at irregular intervals.
Then, after all the liquid has evaporated from the vegetables and they have softened, add the paste and saute for 1 minute, stirring the food.
Then add the beans, the bay leaves, the rosemary, the cube and a whole apple. By putting the whole apple in the pot, our sauce binds better. We will remove it once our food is cooked.
Pour the water and cover the pot.
Simmer our bean salad for 1 to 1 ½ hours.
We check here and there whether we need to add a little water, which should be boiled so that the boiling of our food is not interrupted.
Ten minutes before removing from the heat, add salt and pepper to our food and cover the pot again.
When it's ready, remove from the heat, take the apple out of the pot (we don't need it, we can throw it away).","Σερβίρουμε τη σούπα πασπαλίζοντας με λίγο μπούκοβο, ραντίζουμε με ελαιόλαδο και αλατοπιπερώνουμε Συνοδεύουμε με φέτα, αντζούγιες, ελιές, θυμάρι και ελαιόλαδο.","Serve the soup sprinkled with a little bukovo, sprinkle with olive oil and season with salt and pepper. Serve with feta cheese, anchovies, olives, thyme and olive oil.",344,17,8.3,47,second,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,
24,Τυρί Μυζήθρα,Myzithra cheese,,,"Τυρί Μυζήθρα,50,γρ;","Myzithra cheese,50,g",,,,,145,12.5,9.25,2.9,side,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
25,Λουκάνικα με αυγά και πατάτες,Sausages with eggs and potatoes,,,"Ηλιέλαιο,200,γρ;
Πατάτες,2,τεμ;
Ελαιόλαδο,2,κσ;
Λουκάνικα,240,γρ;
Αυγά,5,τμχ;","Sunflower oil,200,g;
Potatoes,2,pcs;
Olive oil,2,ts;
Sausages,240,g;
Eggs,5,pcs;",,,,,219,22,28,20,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
26,Ψωμί ολικής άλεσης,Wholemeal bread,,,"Ψωμί ολικής άλεσης,30,γρ;","Wholemeal bread,30,g;",,,,,76.5,3.3,0.71,13.5,bread,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
27,Ισπανική τορτίγια,Spanish tortilla,,,"Κρεμύδι,1,τμχ;
Πατάτες,2,τμχ;
Αυγά,7,τμχ;
Ελαιόλαδο,2,κσ;","Onion,1,pc;
Potatoes,2,pcs;
Eggs,7,pcs;
Olive oil,2,ts;","Τοποθετούμε μια κατσαρόλα σε μέτρια φωτιά.
Ρίχνουμε το ηλιέλαιο και το αφήνουμε να ζεσταθεί.
Κόβουμε το κρεμμύδι και τις πατάτες σε λεπτές φέτες.
Ρίχνουμε το κρεμμύδι στην κατσαρόλα και το τηγανίζουμε για 1-2 λεπτά, μέχρι να αρχίσει να γίνεται διάφανο. 
Προσθέτουμε τις πατάτες και τηγανίζουμε για 10-15 λεπτά, μέχρι να ψηθούν και να πάρουν χρώμα.
Σπάμε σε ένα μπολ τα αβγά και τα χτυπάμε ελαφρά με μια ξύλινη κουτάλα.
Αφαιρούμε τις πατάτες και τα κρεμμύδια από την κατσαρόλα και τα μεταφέρουμε στο μπολ με τα αβγά.
Προσθέτουμε λίγο αλάτι και το θυμάρι, και ανακατεύουμε με την ξύλινη κουτάλα.
Αφήνουμε το μείγμα στην άκρη για 30 λεπτά.
Τοποθετούμε ένα αντικολλητικό τηγάνι διαμέτρου 26 εκ. σε μέτρια προς χαμηλή φωτιά.
Ρίχνουμε το ελαιόλαδο, το απλώνουμε να πάει παντού, και αδειάζουμε το μείγμα της ομελέτας.
Σκεπάζουμε το τηγάνι με το καπάκι του και ψήνουμε για 4-5 λεπτά από τη μία μεριά, μέχρι να ψηθεί το κάτω μέρος της ομελέτας και να πάρει χρυσαφένιο χρώμα.
Αναποδογυρίζουμε την ομελέτα σε ένα πιάτο, τη μεταφέρουμε ξανά στο τηγάνι, και την τοποθετούμε ξανά στη φωτιά για ακόμα λίγα λεπτά, μέχρι να πάρει χρώμα και από την άλλη μεριά.
Σερβίρουμε την ομελέτα με ρόκα και την πασπαλίσουμε με θυμάρι και ελαιόλαδο.","Place a saucepan on medium heat.
Pour in the sunflower oil and let it heat up.
Cut the onion and potatoes into thin slices.
Put the onion in the pot and fry it for 1-2 minutes, until it starts to become transparent.
Add the potatoes and fry for 10-15 minutes, until they are cooked and colored.
Break the eggs into a bowl and beat them lightly with a wooden spoon.
Remove the potatoes and onions from the pot and transfer them to the bowl with the eggs.
Add some salt and the thyme, and mix with the wooden spoon.
Leave the mixture aside for 30 minutes.
Place a 26 cm diameter non-stick frying pan on medium to low heat.
Pour the olive oil, spread it to go everywhere, and pour the omelette mixture.
Cover the pan with its lid and cook for 4-5 minutes on one side, until the bottom of the omelet is cooked and golden.
Turn the omelette over on a plate, transfer it back to the pan, and place it back on the heat for a few more minutes, until it gets colored on the other side as well.
Serve the omelette with arugula and sprinkle with thyme and olive oil.",,,463,16,27,36,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
28,Κουλουράκια με σταφίδες,Cookies with raisins,,,"Ηλιέλαιο, 100,γρ;
Χυμό πορτοκάλι,150γρ;
Κρισταλική ζάχαρη,150γρ;
Μαγειρική σόδα,0.5κγ;
Μπέικιν πάουντερ,0,5,κγ;
Αλεύρι,450,γρ;
Σταφίδες,100,γρ;","Sunflower oil,100,g;
Orange juice,150g;
Crystal sugar,150g;
Baking soda,0.5kg;
Baking powder,0.5kg;
Flour,450,g;
Raisins,100,g;","Προθερμαίνουμε τον φούρνο στους 180°C στον αέρα. Στρώνουμε ένα φύλλο λαδόκολλας σε ένα ταψί και το αφήνουμε στην άκρη. Ρίχνουμε σε ένα μπολ το ηλιέλαιο, τον χυμό πορτοκαλιού και τη ζάχαρη, και ανακατεύουμε καλά με ένα σύρμα χειρός μέχρι να λιώσει η ζάχαρη. Ρίχνουμε σε ένα δεύτερο μπολ τη μαγειρική σόδα, το μπέικιν πάουντερ, το αλάτι, το αλεύρι, την κανέλα και τις σταφίδες, και ανακατεύουμε καλά με ένα κουτάλι. Μεταφέρουμε τα στερεά υλικά στο μπολ με τα υγρά, και ανακατεύουμε με τα χέρια μας μέχρι να ομογενοποιηθούν και να έχουμε μια μαλακή και εύπλαστη ζύμη. Χωρίζουμε τη ζύμη σε 25 μπαλάκια των 30 γρ. και πλάθουμε τα κουλουράκια σε πλεξούδες. Μεταφέρουμε τα κουλουράκια στο ταψί και τα πασπαλίζουμε με ζάχαρη. Μεταφέρουμε το ταψί στον φούρνο και ψήνουμε για 20-25 λεπτά. Αφαιρούμε τα κουλουράκια από τον φούρνο και τα αφήνουμε να κρυώσουν καλά.","Preheat the oven to 180°C in the air. Place a sheet of parchment paper on a baking sheet and set aside. Pour the sunflower oil, orange juice and sugar into a bowl, and mix well with a hand whisk until the sugar melts. Put the baking soda, baking powder, salt, flour, cinnamon and raisins in a second bowl and mix well with a spoon. We transfer the solid ingredients to the bowl with the liquids, and mix with our hands until they are homogenized and we have a soft and pliable dough. Divide the dough into 25 balls of 30 g each. and shape the cookies into braids. Transfer the cookies to the pan and sprinkle them with sugar. Transfer the pan to the oven and bake for 20-25 minutes. Remove the cookies from the oven and let them cool well.",,,137,1.9,4.3,22,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,
29,Καρύδια,Walnuts,,,"Καρύδια,8,τμχ","Walnuts,1,pc",,,,,209,4.87,20.87,4.39,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,
30,Μαροκινό κοτόπουλο,Moroccan Chicken,,,"Αλάτι,1, κ.σ.;
Κρυσταλλική ζάχαρη,1,κ.σ.;
Κύμινο,1,κ.γ.;
Κανέλα,1,κ.γ.;
Σκόρδο σε σκόνη,1,κ.γ.;
Μπούκοβο,1,κ.σ.;
Πιπέρι καγιέν,1/2, κ.γ.; 
Ρίγανη,1,κ.σ.;
Φύλλα δάφνης,2,τμχ;
Ελαιόλαδο,4,κ.σ.;
Ζωμό λαχανικών,1,κ.σ.;
Κρεμμύδι,1,τμχ;
Καρότα,2,τμχ;
Κόκκινη πιπεριά,1,τμχ;
Πιπεριά τσίλι,1,τμχ;
Κολοκύθα καθαρισμένη,400,γρ;
Χυμό πορτοκαλιού,10,γρ;
Χυμό λεμονιού,10,γρ;
Φιλέτο μπούτι κοτόπουλου,1000,γρ;","Salt, 1,tsp;
Granulated sugar, 1, tsp;
Cumin, 1, tsp;
Cinnamon, 1 ,tsp;
Garlic powder, 1, tsp;
Ground cloves, 1, tsp;
Cayenne pepper, 1/2, tsp;
Dried oregano, 1, tsp;
Bay leaves, 2, leaves;
Olive oil, 4, tbsp;
Vegetable broth, 1, tbsp;
Onion, 1, onion;
Carrots, 2, carrots;
Red bell pepper, 1, pepper;
Chili pepper, 1, pepper;
Butternut squash, peeled and cubed, 400,g;
Orange juice, 10, ml;
Lemon juice, 10, ml;
Chicken thigh fillets, 1000,g;
Sesame seeds, 2, tbsp;","Προθερμαίνουμε τον φούρνο στους 220ο C στον αέρα.
Σε ένα μπολ βάζουμε το αλάτι, τη ζάχαρη, το κύμινο, την κανέλα, το σκόρδο, το μπούκοβο, πιπέρι καγιέν, τη ρίγανη, τα φύλλα δάφνης, 4 κ.σ. ελαιόλαδο, τον ζωμό και ανακατεύουμε.
Κόβουμε το κρεμμύδι σε τέσσερα κομμάτια και ανοίγουμε τα φύλλα του. Τα βάζουμε μέσα στο μπολ με τη μαρινάδα.
Κόβουμε τα καρότα σε λεπτές ροδέλες και τα βάζουμε στο μπολ.
Κόβουμε την πιπεριά σε μεγάλα κομμάτια, την πιπεριά τσίλι σε μικρά κομμάτια και τα βάζουμε στο μπολ.
Καθαρίζουμε την κολοκύθα και την κόβουμε σε λωρίδες 2 εκ. Τις βάζουμε στο μπολ με τα υπόλοιπα λαχανικά. Προσθέτουμε το ξύσμα και τον χυμό από το πορτοκάλι και το λεμόνι.
Βάζουμε στο μπολ και το κοτόπουλο και ανακατεύουμε. Μεταφέρουμε σε ένα ταψί 30x40 εκ. και φροντίζουμε κάτω να είναι τα λαχανικά και το κοτόπουλο από πάνω.
Πασπαλίζουμε με το σουσάμι και ψήνουμε 25-30 λεπτά.","Preheat the oven to 220°C on the air setting.
In a bowl, mix together salt, sugar, cumin, cinnamon, garlic powder, paprika, cayenne pepper, oregano, bay leaves, 4 tbsp olive oil, vegetable broth, and stir well.
Cut the onion into four pieces and separate the layers. Add to the bowl with the marinade.
Cut the carrots into thin rounds and add to the bowl.
Cut the bell pepper into large pieces, the chili pepper into small pieces, and add to the bowl.
Clean the squash and cut it into 2 cm strips. Add to the bowl with the other vegetables. Add the zest and juice from the orange and lemon.
Add the chicken to the bowl and mix well. Transfer the mixture to a baking dish measuring 30x40 cm and make sure the vegetables are at the bottom and the chicken is on top.
Sprinkle with sesame seeds and bake for 25-30 minutes.
Serve with basmati rice, coriander, and yogurt.","Σερβίρουμε με ρύζι μπασμάτι, κόλιανδρο και γιαούρτι.","Serve with basmati rice, coriander, and yogurt.",344,40,15,11,first,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,
31,Κριτσίνια με σουσάμι,Breadsticks with sesame seeds,,,"Αλεύρι,300,γρ;
Μπέκιν πάουντερ,1,κγ;
Ελαιόλαδο,100,γρ;
Νερό,100,γρ;","Flour,300,g;
Baking powder,1,ts;
Olive oil,100,g;
Water,100,g;"," Προθερμαίνουμε τον φούρνο στους 170°C στον αέρα. Στρώνουμε ένα φύλλο λαδόκολλας σε ένα ταψί και το αφήνουμε στην άκρη. Ρίχνουμε σε ένα μπολ τo αλεύρι, το μπέικιν, το ελαιόλαδο, το αλάτι και το νερό, και τα πλάθουμε με τα χέρια μας μέχρι να ομογενοποιηθούν και να έχουμε ένα εύπλαστο ζυμάρι. Ρίχνουμε σε ένα μπολ το νερό και σε ένα δεύτερο το σουσάμι. Χωρίζουμε τη ζύμη σε μπαλάκια των 20 γρ. Πλάθουμε με τα χέρια μας τα μπαλάκια σε μπαστουνάκια μήκους 10 εκ. Περνάμε τα μπαστουνάκια πρώτα από το μπολ με το νερό και έπειτα από το μπολ με το σουσάμι. Τοποθετούμε τα κριτσίνια στο ταψί αφήνοντας κενό μεταξύ τους. Μεταφέρουμε το ταψί στον φούρνο κα ψήνουμε για 20-30 λεπτά. Αφαιρούμε το ταψί από τον φούρνο. Σερβίρουμε τα κριτσίνια με τα συνοδευτικά της αρεσκείας μας.",Breadsticks with sesame seeds,,,146,3.1,9.6,11,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
32,"Σαλάτα με αποξηραμένα σύκα, καραμελωμένα καρύδια και dressing ροδιού
","Green salad with dried figs, caramelized walnuts, and pomegranate dressing",,,"Ξερά σύκα, 150,γρ;
Μαυροδάφνη , 10,γρ;
Μπαλσαμικο ξίδι, 40,γρ;
Κανέλα, 1,στικ;
Καρύδια, 150,γρ;
Κρυσταλλική ζάχαρη, 80,γρ;
Χυμός λεμονιού, 20,γρ;
Μέλι, 1,2, κ.γ.;
Μουστάρδα, 10,γρ;
Ηλιέλαιο, 120,γρ;
Πράσινη σαλάτα (baby), 200,γρ;
Αρσενικό από Νάξο (κομμένο σε λεπτές φέτες με έναν φλοιό πορτοκαλιού), 100,γρ;
Φιλέτα πορτοκαλιού, 1 ,πορτοκάλι;
","Dried figs,150,g;
Mavrodafni (sweet fortified wine),10,g;
Balsamic vinegar,40,g;
Cinnamon,1,stick;
Walnuts,150,g;
Granulated sugar,80,g;
Lemon juice,20,g;
Honey,1.2,ts;
Mustard,10,g;
Sunflower oil,120,g;
Green salad (baby),200,g;
Arseniko from Naxos (spicy kefalotyri cheese-cut into thin slices with a peeler),100,g;
Orange fillets,1,orange
","Τοποθετούμε μια κατσαρόλα σε χαμηλή φωτιά, ρίχνουμε τα σύκα, τη μαυροδάφνη, το βαλσάμικο ξίδι, το στικ κανέλας και τον αστεροειδή γλυκάνισο, και βράζουμε μέχρι να μαλακώσουν τα σύκα και να εξατμιστεί η περισσότερη υγρασία από την κατσαρόλα. 
Αποσύρουμε την κατσαρόλα από τη φωτιά και αφήνουμε τα σύκα στην άκρη να κρυώσουν. 
Κόβουμε τα σύκα σε λεπτές φέτες και τα αφήνουμε στην άκρη.
Βάζουμε τα καρύδια σε ένα μπολ, καλύπτουμε με διάφανη μεμβράνη, και μεταφέρουμε στον φούρνο μικροκυμάτων στα 800 Watt για 1-2 λεπτά, μέχρι να ζεσταθούν.
Στρώνουμε ένα φύλλο λαδόκολλας σε ένα ταψί και το αφήνουμε στην άκρη.
Τοποθετούμε ένα αντικολλητικό τηγάνι σε μέτρια φωτιά.
Ρίχνουμε τη ζάχαρη σιγά-σιγά σε δόσεις. 
Βάζουμε στην αρχή 20 γρ. και μόλις λιώσουν, ρίχνουμε άλλα 20 γρ., και επαναλαμβάνουμε την ίδια διαδικασία μέχρι να τελειώσει όλη η ποσότητα της ζάχαρης.
Όταν λιώσει και η τελευταία δόση της ζάχαρης, ρίχνουμε μέσα τα καρύδια, και ανακατεύουμε με μια σπάτουλα σιλικόνης να πάει παντού η καραμέλα. 
Μεταφέρουμε γρήγορα τα καραμελωμένα καρύδια στο ταψί. Προσέχουμε να μην ακουμπήσουμε το μείγμα γιατί καίει πολύ.
Αφήνουμε τα καρύδια στην άκρη να κρυώσουν για περίπου 30 λεπτά.
Βάζουμε σε ένα μπολ τον χυμό λεμονιού, τη γρεναδίνη, το μέλι, τη μουστάρδα και λίγο αλάτι, και ανακατεύουμε με ένα σύρμα χειρός μέχρι να ομογενοποιηθούν τα υλικά. 
Προσθέτουμε σιγά-σιγά το ηλιέλαιο, ανακατεύοντας συνεχώς με το σύρμα χειρός μέχρι να δέσει το dressing.
Ελέγχουμε το αλάτι, προσθέτουμε αν χρειάζεται, και αφήνουμε το dressing στην άκρη μέχρι να το χρειαστούμε. 
Για τη συνταγή θα χρειαστούμε περίπου τη μισή ποσότητα. Την υπόλοιπη μισή την αποθηκεύουμε σε ένα βαζάκι στο ψυγείο για 3-4 ημέρες.
Βάζουμε σε ένα μπολ τα σαλατικά, 2 κ.σ. από το dressing, και λίγο αλάτι, και ανακατεύουμε με ένα κουτάλι. 
Μεταφέρουμε τη σαλάτα στο πιάτο σερβιρίσματος, προσθέτουμε τα σύκα, τα καραμελωμένα καρύδια, τις φέτες από το αρσενικό Νάξου και τα φιλέτα πορτοκαλιού, και περιχύνουμε με λίγο ακόμα dressing. 
Σερβίρουμε.
","Place a pot over low heat, add the figs, sweet red wine, balsamic vinegar, cinnamon stick, and star anise, and boil them until the figs are tender and most of the pot’s moisture is evaporated. 
Remove the pot from the heat and set the figs aside to cool. 
Cut the figs into thin slices and set them aside.
Put the walnuts in a bowl, cover it with plastic wrap, and microwave it at 800 Watts, for 1-2 minutes, until they are warm.
Line a baking pan with parchment paper and set it aside.
Place a non-stick frying pan over medium heat.
Gradually add the sugar in batches. 
Firstly, add 20 g of sugar and once melted, add another 20 g, and follow the same process for all of the sugar.
When the last batch of the sugar is melted, add the walnuts, and stir with a silicone spatula to spread the caramel over the whole surface. 
Quickly transfer the caramelized walnuts to the pan. Make sure you do not touch them as they are extremely hot.
Set the walnuts aside to cool for about 30 minutes.
In a bowl add the lemon juice, grenadine, honey, mustard, and a little salt, and whisk them well until homogenized. 
Slowly add the sunflower oil, whisking constantly until the dressing thickens.
Check the seasoning, add some salt if you want, and set the dressing aside until needed. 
You will need about half of the dressing for this recipe. You can store the other half in a jar, for 3-4 days in the refrigerator.
Put the green salad in a bowl, add 2 tablespoons of the dressing and a little salt, and mix them with a spoon.
Transfer the salad to your serving plate, add the figs, caramelized walnuts, cheese slices, and orange fillets, and drizzle the salad with a little more dressing. 
Serve.
",,,335,8.1,22,24,second,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,
33,Ταχίνι με μέλι,Tahini with honey,,,"Ταχίνι με μέλι,25,γρ;","Tahini with honey,25,g;",,,,,143,2.6,9.5,11.4,side,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
