ID,Name (in Spanish),Name (in English),Ingredients of a standard portion for a 3-6 year-old child (in Spanish),Ingredients of a standard portion for a 3-6 year-old child (in English),Ingredients of a standard portion for a 7-12 year-old child (in Spanish),Ingredients of a standard portion for a 7-12 year-old child (in English),Ingredients of a standard portion for a 13-15 year-old child (in Spanish),Ingredients of a standard portion for a 13-15 year-old child (in English),Ingredients of a standard portion for a 16-18 year-old child (in Spanish),Ingredients of a standard portion for a 16-18 year-old child (in English),Ingredients of a standard portion for an adult (in Spanish),Ingredients of a standard portion for an adult (in English),Recipe (in Spanish),Recipe (in English),Tip (in Spanish),Tip (in English),Kcal,Protein,Fat,Carbohydrates,Dish type,For Autumn,For Winter,For Spring,For Summer,White meat,Red meat,Pork,Fish or seafood,Pulses (Legumes),Dairy,Eggs,Pasta,Rice,Tubers,Soups,Cereals,Fruit,Nuts,Raw vegetables,Cooked vegetables,Protein mix,Unique,Semiunique,Vegetables for semi,Red,Green,White,Yellow,Purple,Multicolor,No color,For proposals,For school
19,Pan integral de molde,Whole-wheat bread sliced,"Pan integral de molde,28,g;","Whole-wheat bread sliced,28,g;","Pan integral de molde,28,g;","Whole-wheat bread sliced,28,g;","Pan integral de molde,56,g;","Whole-wheat bread sliced,56,g;","Pan integral de molde,56,g;","Whole-wheat bread sliced,56,g;","Pan integral de molde,56,g;","Whole-wheat bread sliced,56,g;",,,,,146.72,4.77,2.27,24.47,bread,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,Tortilla de trigo tipo fajita,"Wheat tortilla wrap, to be filled","Tortilla de trigo tipo fajita,35,g;","Wheat tortilla wrap, to be filled,35,g;","Tortilla de trigo tipo fajita,35,g;","Wheat tortilla wrap, to be filled,35,g;","Tortilla de trigo tipo fajita,70,g;","Wheat tortilla wrap, to be filled,70,g;","Tortilla de trigo tipo fajita,70,g;","Wheat tortilla wrap, to be filled,70,g;","Tortilla de trigo tipo fajita,70,g;","Wheat tortilla wrap, to be filled,70,g;",,,,,228.9,5.84,5.74,36.47,semi,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,Tortitas de arroz inflado integral,"Puffed rice textured bread, wholemeal","Tortitas de arroz inflado integral,20,g; ","Puffed rice textured bread, wholemeal,20,g;","Tortitas de arroz inflado integral,20,g; ","Puffed rice textured bread, wholemeal,20,g;","Tortitas de arroz inflado integral,40,g; ","Puffed rice textured bread, wholemeal,40,g;","Tortitas de arroz inflado integral,40,g; ","Puffed rice textured bread, wholemeal,40,g;","Tortitas de arroz inflado integral,40,g; ","Puffed rice textured bread, wholemeal,40,g;",,,,,154,2.93,1.2,32.2,semi,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,Palitos de pan integrales,Whole-wheat bread sticks,"Palitos de pan integrales,20,g;","Whole-wheat bread sticks,20,g;","Palitos de pan integrales,20,g;","Whole-wheat bread sticks,20,g;","Palitos de pan integrales,40,g;","Whole-wheat bread sticks,40,g;","Palitos de pan integrales,40,g;","Whole-wheat bread sticks,40,g;","Palitos de pan integrales,40,g;","Whole-wheat bread sticks,40,g;",,,,,194,4,9.6,21.2,bread,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,Yogur desnatado natural,"Yoghurt fat-free, plain","Yogur desnatado natural,100,g;","Yoghurt fat-free, plain,100,g;","Yogur desnatado natural,125,g;","Yoghurt fat-free, plain,125,g;","Yogur desnatado natural,125,g;","Yoghurt fat-free, plain,125,g;","Yogur desnatado natural,125,g;","Yoghurt fat-free, plain,125,g;","Yogur desnatado natural,125,g;","Yoghurt fat-free, plain,125,g;",,,,,49.25,6.02,0.08,5.13,unique,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24,Yogur desnatado con frutas,"Yoghurt fat-free, with fruits","Yogur desnatado con frutas,100,g;","Yoghurt fat-free, with fruits,100,g;","Yogur desnatado con frutas,125,g;","Yoghurt fat-free, with fruits,125,g;","Yogur desnatado con frutas,125,g;","Yoghurt fat-free, with fruits,125,g;","Yogur desnatado con frutas,125,g;","Yoghurt fat-free, with fruits,125,g;","Yogur desnatado con frutas,125,g;","Yoghurt fat-free, with fruits,125,g;",,,,,53,5.36,0.16,6.15,unique,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,Yogur griego natural,Yoghurt Greekstyle plain,"Yogur griego natural,100,g;","Yoghurt Greekstyle plain,100,g;","Yogur griego natural,125,g;","Yoghurt Greekstyle plain,125,g;","Yogur griego natural,125,g;","Yoghurt Greekstyle plain,125,g;","Yogur griego natural,125,g;","Yoghurt Greekstyle plain,125,g;","Yogur griego natural,125,g;","Yoghurt Greekstyle plain,125,g;",,,,,141.73,4.15,11.53,5.26,unique,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,Kefir,Kefir,"Kefir,100,g;","Kefir,100,g;","Kefir,200,g;","Kefir,200,g;","Kefir,200,g;","Kefir,200,g;","Kefir,200,g;","Kefir,200,g;","Kefir,200,g;","Kefir,200,g;",,,,,124.52,6.38,7,9,unique,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,Yogur para beber desnatado natural,"Dairy drink or fermented milk, fat-free, plain","Yogur para beber desnatado natural,100,g;","Dairy drink or fermented milk, fat-free, plain,100,g;","Yogur para beber desnatado natural,200,g;","Dairy drink or fermented milk, fat-free, plain,200,g;","Yogur para beber desnatado natural,200,g;","Dairy drink or fermented milk, fat-free, plain,200,g;","Yogur para beber desnatado natural,200,g;","Dairy drink or fermented milk, fat-free, plain,200,g;","Yogur para beber desnatado natural,200,g;","Dairy drink or fermented milk, fat-free, plain,200,g;",,,,,78.8,9.64,0.13,5.2,unique,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,Leche semidesnatada,Semi-skimmed milk,"Leche semidesnatada,100,g;","Semi-skimmed milk,100,g;","Leche semidesnatada,200,g;","Semi-skimmed milk,200,g;","Leche semidesnatada,200,g;","Semi-skimmed milk,200,g;","Leche semidesnatada,200,g;","Semi-skimmed milk,200,g;","Leche semidesnatada,200,g;","Semi-skimmed milk,200,g;",,,,,94,6.76,3.1,9.66,unique,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,Leche desnatada fortificada en Calcio,"Skimmed milk, calcium fortified","Leche desnatada fortificada en Calcio,100,g;","Skimmed milk, calcium fortified,100,g;","Leche desnatada fortificada en Calcio,200,g;","Skimmed milk, calcium fortified,200,g;","Leche desnatada fortificada en Calcio,200,g;","Skimmed milk, calcium fortified,200,g;","Leche desnatada fortificada en Calcio,200,g;","Skimmed milk, calcium fortified,200,g;","Leche desnatada fortificada en Calcio,200,g;","Skimmed milk, calcium fortified,200,g;",,,,,88.2,6.76,2.5,9.58,unique,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30,Yogur natural con arándanos y copos de avena,Yogurt plain with blueberries and oatmeal,"Yogur desnatado natural,80,g;
Arándanos,30,g;
Copos de avena,15,g;","Yoghurt fat-free plain,80,g;
Blueberries,30,g;
Oatmeal,15,g;","Yogur desnatado natural,125,g;
Arándanos,50,g;
Copos de avena,30,g;","Yoghurt fat-free plain,125,g;
Blueberries,50,g;
Oatmeal,30,g;","Yogur desnatado natural,125,g;
Arándanos,50,g;
Copos de avena,30,g;","Yoghurt fat-free plain,125,g;
Blueberries,50,g;
Oatmeal,30,g;","Yogur desnatado natural,125,g;
Arándanos,50,g;
Copos de avena,30,g;","Yoghurt fat-free plain,125,g;
Blueberries,50,g;
Oatmeal,30,g;","Yogur desnatado natural,125,g;
Arándanos,50,g;
Copos de avena,30,g;","Yoghurt fat-free plain,125,g;
Blueberries,50,g;
Oatmeal,30,g;","Añade en un bol el yogur. 
A continuación añade los arándanos y los copos de avena.
Mezcla todos los ingredientes.","Add the yogurt to a bowl.
Then add the blueberries and oat flakes.
Mix all ingredients.",,,191.5,11.53,2.32,27.14,unique,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
31,Tostada de pan integral con hummus y aguacate,Wholemeal toast with hummus and alvocado,"Pan integral,30,g;
Hummus,20,g;
Aguacate,20,g;","Wholemeal bread,30,g;
Hummus,20,g;
Alvocado,20,g;","Pan integral,30,g;
Hummus,20,g;
Aguacate,20,g;","Wholemeal bread,30,g;
Hummus,20,g;
Aguacate,20,g;","Pan integral,60,g;
Hummus,40,g;
Aguacate,25,g;","Wholemeal bread,60,g;
Hummus,40,g;
Alvocado,25,g;","Pan integral,60,g;
Hummus,40,g;
Aguacate,25,g;","Wholemeal bread,60,g;
Hummus,40,g;
Aguacate,25,g;","Pan integral,60,g;
Hummus,40,g;
Aguacate,25,g;","Wholemeal bread,60,g;
Hummus,40,g;
Aguacate,25,g;",Tostar el pan. Huntar con una capa de hummus. Cubrir con unas láminas de aguacate. Listo para consumir.,Toast the bread. Spread with a layer of hummus. Cover with a few slices of avocado. Ready to consume.,,,312.96,8.7,15.79,29.63,unique,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,Tostada integral con aceite de oliva y queso fresco,Wholemeal toast with olive oil and fresh cheese,"Pan integral,30,g;
Loncha de queso fresco,30,g;
Aceite de oliva,5,ml;","Wholemeal bread,30,g;
Slice of fresh cheese,30,g;
Olive oil,5,ml;","Pan integral,30,g;
Loncha de queso fresco,55,g;
Aceite de oliva,5,ml;","Wholemeal bread,30,g;
Slice of fresh cheese,55,g
Olive oil,5,ml;","Pan integral,60,g;
Loncha de queso fresco,55,g;
Aceite de oliva,5,ml;","Wholemeal bread,60,g;
Slice of fresh cheese,55,g
Olive oil,5,ml;","Pan integral,60,g;
Loncha de queso fresco,55,g;
Aceite de oliva,5,ml;","Wholemeal bread,60,g;
Slice of fresh cheese,55,g
Olive oil,5,ml;","Pan integral,60,g;
Loncha de queso fresco,55,g;
Aceite de oliva,5,ml;","Wholemeal bread,60,g;
Slice of fresh cheese,55,g
Olive oil,5,ml;","Tostar el pan y una vez tostado añadir un chorro de aceite de oliva. A un lado, cortar dos lonchas de queso. Por una lado servir la tostada con el queso encima, y por el otro la pieza de fruta.","Toast the bread and, when toasted, add a drizzle of olive oil. Cut two slices of cheese on one side. Serve the toast with the cheese on one side and the fruit on the other.",,,237.71,7.51,9.1,28.54,unique,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
